"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SO-20";1;"L293DD";;;
2;"U8";"24-TSSOP";1;"TCA9539PWR";;;
3;"H2,H3,H1";"MountingHole_3.5mm";3;"MountingHole";;;
4;"U15,U16";"PinHeader_1x05_P2.54mm_Vertical";2;"Conn_01x05_2";;;
5;"U7";"PinHeader_1x05_P2.54mm_Vertical";1;"VL53L1X Left";;;
6;"JP2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
7;"U10";"SparkFun QRE1113";1;"NE";;;
8;"U5";"PinHeader_1x05_P2.54mm_Vertical";1;"VL53L1X Right";;;
9;"J1";"SHDR6W50P0X200_1X6_1390X450X600P";1;"Right Motor";;;
10;"M1,M2";"N20-MOTOR-BRACKET";2;"N20_MOTOR";;;
11;"R10,R13,R9,R12,R11";"RES_0402";5;"10k";;;
12;"U6";"PinHeader_1x05_P2.54mm_Vertical";1;"VL53L1X Center";;;
13;"JP1";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
14;"J2";"SHDR6W50P0X200_1X6_1390X450X600P";1;"Left Motor";;;
15;"U4";"CYCLONE_MICROBIT_VERTICAL";1;"BBC Micro:bit";;;
16;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Motor Connector2";;;
17;"U3";"PW16-L";1;"TXB0106PWRPW16-L";;;
18;"U2";"16340 Battery Module";1;"16340_Battery_Module";;;
19;"U13";"SUMO_IO";1;"SUMO_IO";;;
20;"U9";"SparkFun QRE1113";1;"NW";;;
21;"U14";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
22;"U11";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Top_Bottom";;;
